Date,Open,High,Low,Close,Volume,Adj Close
2016-05-10,219.05701,219.05701,219.05701,219.05701,000,219.05701
2016-05-09,210.575,210.575,210.575,210.575,000,210.575
2016-05-06,226.14301,226.14301,226.14301,226.14301,000,226.14301
2016-05-05,216.65401,216.65401,216.65401,216.65401,000,216.65401
2016-05-04,210.004,210.004,210.004,210.004,000,210.004
2016-05-03,221.786,221.786,221.786,221.786,000,221.786
2016-05-02,228.61501,228.61501,228.61501,228.61501,000,228.61501
2016-04-29,233.46201,233.46201,233.46201,233.46201,000,233.46201
2016-04-28,217.828,217.828,217.828,217.828,000,217.828
2016-04-27,207.474,207.474,207.474,207.474,000,207.474
2016-04-26,205.089,205.089,205.089,205.089,000,205.089
2016-04-25,201.459,201.459,201.459,201.459,000,201.459
2016-04-22,202.29401,202.29401,202.29401,202.29401,000,202.29401
2016-04-21,207.521,207.521,207.521,207.521,000,207.521
2016-04-20,202.315,202.315,202.315,202.315,000,202.315
2016-04-19,207.23399,207.23399,207.23399,207.23399,000,207.23399
2016-04-18,199.048,199.048,199.048,199.048,000,199.048
2016-04-15,198.15401,198.15401,198.15401,198.15401,000,198.15401
2016-04-14,193.242,193.242,193.242,193.242,000,193.242
2016-04-13,200.923,200.923,200.923,200.923,000,200.923
2016-04-12,207.10899,207.10899,207.10899,207.10899,000,207.10899
2016-04-11,206.07899,206.07899,206.07899,206.07899,000,206.07899
2016-04-08,194.06599,194.06599,194.06599,194.06599,000,194.06599
2016-04-07,186.313,186.313,186.313,186.313,000,186.313
2016-04-06,181.145,181.145,181.145,181.145,000,181.145
2016-04-05,180.647,180.647,180.647,180.647,000,180.647
2016-04-04,174.57001,174.57001,174.57001,174.57001,000,174.57001
2016-04-01,179.912,179.912,179.912,179.912,000,179.912
2016-03-31,178.241,178.241,178.241,178.241,000,178.241
2016-03-30,180.05099,180.05099,180.05099,180.05099,000,180.05099
2016-03-29,181.509,181.509,181.509,181.509,000,181.509
2016-03-28,170.895,170.895,170.895,170.895,000,170.895
2016-03-25,171.39999,171.39999,171.39999,171.39999,000,171.39999
2016-03-24,171.39999,171.39999,171.39999,171.39999,000,171.39999
2016-03-23,168.04401,168.04401,168.04401,168.04401,000,168.04401
2016-03-22,181.39799,181.39799,181.39799,181.39799,000,181.39799
2016-03-21,181.004,181.004,181.004,181.004,000,181.004
2016-03-18,181.321,181.321,181.321,181.321,000,181.321
2016-03-17,180.662,180.662,180.662,180.662,000,180.662
2016-03-16,183.13,183.13,183.13,183.13,000,183.13
2016-03-15,171.73199,171.73199,171.73199,171.73199,000,171.73199
2016-03-14,169.44099,169.44099,169.44099,169.44099,000,169.44099
2016-03-11,175.351,175.351,175.351,175.351,000,175.351
2016-03-10,178.985,178.985,178.985,178.985,000,178.985
2016-03-09,172.55701,172.55701,172.55701,172.55701,000,172.55701
2016-03-08,171.67999,171.67999,171.67999,171.67999,000,171.67999
2016-03-07,178.071,178.071,178.071,178.071,000,178.071
2016-03-04,171.963,171.963,171.963,171.963,000,171.963
2016-03-03,173.353,173.353,173.353,173.353,000,173.353
2016-03-02,165.873,165.873,165.873,165.873,000,165.873
2016-03-01,160.50301,160.50301,160.50301,160.50301,000,160.50301
2016-02-29,167.485,167.485,167.485,167.485,000,167.485
2016-02-26,161.543,161.543,161.543,161.543,000,161.543
2016-02-25,167.774,167.774,167.774,167.774,000,167.774
2016-02-24,165.605,165.605,165.605,165.605,000,165.605
2016-02-23,163.858,163.858,163.858,163.858,000,163.858
2016-02-22,160.19,160.19,160.19,160.19,000,160.19
2016-02-19,158.717,158.717,158.717,158.717,000,158.717
2016-02-18,161.433,161.433,161.433,161.433,000,161.433
2016-02-17,153.94701,153.94701,153.94701,153.94701,000,153.94701
2016-02-16,151.159,151.159,151.159,151.159,000,151.159
2016-02-15,163.584,163.584,163.584,163.584,000,163.584
2016-02-12,163.584,163.584,163.584,163.584,000,163.584
2016-02-11,159.31,159.31,159.31,159.31,000,159.31
2016-02-10,148.778,148.778,148.778,148.778,000,148.778
2016-02-09,145.578,145.578,145.578,145.578,000,145.578
2016-02-08,152.299,152.299,152.299,152.299,000,152.299
2016-02-05,147.84399,147.84399,147.84399,147.84399,000,147.84399
2016-02-04,139.87,139.87,139.87,139.87,000,139.87
2016-02-03,132.619,132.619,132.619,132.619,000,132.619
2016-02-02,122.177,122.177,122.177,122.177,000,122.177
2016-02-01,124.546,124.546,124.546,124.546,000,124.546
2016-01-29,120.799,120.799,120.799,120.799,000,120.799
2016-01-28,118.214,118.214,118.214,118.214,000,118.214
2016-01-27,120.542,120.542,120.542,120.542,000,120.542
2016-01-26,117.437,117.437,117.437,117.437,000,117.437
2016-01-25,111.02,111.02,111.02,111.02,000,111.02
2016-01-22,106.837,106.837,106.837,106.837,000,106.837
2016-01-21,105.792,105.792,105.792,105.792,000,105.792
2016-01-20,104.263,104.263,104.263,104.263,000,104.263
2016-01-19,100.702,100.702,100.702,100.702,000,100.702
2016-01-18,106.706,106.706,106.706,106.706,000,106.706
2016-01-15,106.706,106.706,106.706,106.706,000,106.706
2016-01-14,107.239,107.239,107.239,107.239,000,107.239
2016-01-13,111.993,111.993,111.993,111.993,000,111.993
2016-01-12,111.039,111.039,111.039,111.039,000,111.039
2016-01-11,113.795,113.795,113.795,113.795,000,113.795
2016-01-08,118.541,118.541,118.541,118.541,000,118.541
2016-01-07,122.238,122.238,122.238,122.238,000,122.238
2016-01-06,116.732,116.732,116.732,116.732,000,116.732
2016-01-05,114.047,114.047,114.047,114.047,000,114.047
2016-01-04,114.66,114.66,114.66,114.66,000,114.66
2016-01-01,111.179,111.179,111.179,111.179,000,111.179
2015-12-31,111.179,111.179,111.179,111.179,000,111.179
2015-12-30,110.755,110.755,110.755,110.755,000,110.755
2015-12-29,112.635,112.635,112.635,112.635,000,112.635
2015-12-28,111.959,111.959,111.959,111.959,000,111.959
2015-12-25,116.745,116.745,116.745,116.745,000,116.718
2015-12-24,116.745,116.745,116.745,116.745,000,116.718
2015-12-23,113.808,113.808,113.808,113.808,000,113.78168
2015-12-22,111.27,111.27,111.27,111.27,000,111.24426
2015-12-21,111.875,111.875,111.875,111.875,000,111.84913
2015-12-18,109.25,109.25,109.25,109.25,000,109.22473
